ID,Name,Conf,Disabled,Campaigns,IconOverride,SkinGroupId,ObtainType,ObtainTypeCN,LastChance,MasterSkin,PetSkin,PetSkin2,PriceClubCoins,PriceStarPoints,PriceBling,PriceGems,DiscountPriceGems,PriceCoins,Rarity,TID,ShopTID,Features,CommunityCredit,MaterialsFile,BlueTexture,RedTexture,BlueSpecular,RedSpecular,OutlineShader,PackOfferAnimOverride,BattleIntroXOffset,BattleIntroZOffset,BattleIntroVFX,DisableCatalogRelease,CatalogPreRequirementSkin,CatalogNewDaysAdjustment,NotInCatalogTID
26,TrickshotGold,TrickshotGold,,,,,,,,,,,,,5000,149,129,,EPIC,TID_TRICKSHOT_GOLD_SKIN,TID_TRICKSHOT_GOLD_SKIN_SHOP,"MODEL,VFX",,,rico_gold_tex.pvr,rico_gold_tex.pvr,rico_gold_tex.pvr,rico_gold_tex.pvr,,,-300,-550,,,,,
27,BarkeepGold,BarkeepGold,,,,,,,,,,,,,1000,29,,,RARE,TID_BARKEEP_GOLD_SKIN,TID_BARKEEP_GOLD_SKIN_SHOP,"MODEL,VFX",,,barley_banker_tex.pvr,barley_banker_tex.pvr,barley_banker_tex.pvr,barley_banker_tex.pvr,,,,,,,,,
28,LuchadorRudo,LuchadorRudo,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_LUCHADOR_RUDO_SKIN,TID_LUCHADOR_RUDO_SKIN_SHOP,"MODEL,VFX,ANIM",,,primo_elrudo_tex.pvr,primo_elrudo_tex.pvr,primo_elrudo_tex.pvr,primo_elrudo_tex.pvr,,,,,,,,,
29,BanditGirlBandita,BanditGirlBandita,,,,,,8,,,,,,,1000,29,,,RARE,TID_SHOTGUN_BANDITA_SKIN,TID_SHOTGUN_BANDITA_SKIN_SHOP,MODEL,,,shelly_bandita_tex.pvr,shelly_bandita_tex.pvr,shelly_bandita_tex.pvr,shelly_bandita_tex.pvr,,,,,,,,,
30,LuchadorRey,LuchadorRey,,,,,,,,,,,,,5000,149,129,,EPIC,TID_LUCHADOR_KING_SKIN,TID_LUCHADOR_KING_SKIN_SHOP,"MODEL,VFX,ANIM",,,primo_elrey_tex.pvr,primo_elrey_tex.pvr,primo_elrey_tex.pvr,primo_elrey_tex.pvr,,,,,,,,,
31,BallDefault,BallDefault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BlackholeDefault,BlackholeDefault,,,,,,,,,,,,,,,,,,,,,,,tara_tex.pvr,tara_tex.pvr,tara_tex.pvr,tara_tex.pvr,,,,,,,,,
33,HealstationDefault,HealstationDefault,,,,,,,,,,,,,,,,,,,,,,,pam_turret_blue_tex.pvr,pam_turret_red_tex.pvr,pam_turret_blue_tex.pvr,pam_turret_red_tex.pvr,,,,,,,,,
34,BarrelbotDefault,BarrelbotDefault,,,,,,,,,,,,,,,,,,,,,,,darryl_tex.pvr,darryl_tex.pvr,darryl_tex.pvr,"darryl_tex.pvr+value(masks/darryl/darryl_msk.png,0.698000)",,,,,,,,,
35,BlackholePetDefault,BlackholePetDefault,,,,,,,,,,,,,,,,,,,,,,,tara_superability_tex.pvr,tara_superability_tex.pvr,tara_superability_tex.pvr,tara_superability_tex.pvr,,,,,,,,,
36,TntPetDefault,TntPetDefault,,,,,,,,,,,,,,,,,,,,,,,nita_bear_tex.pvr,nita_bear_tex.pvr,nita_bear_tex.pvr,nita_bear_tex.pvr,,,,,,,,,
37,RangedBotDefault,RangedBotDefault,,,,,,,,,,,,,,,,,,,,,,,bot_ranger_tex.pvr,bot_ranger_tex.pvr,bot_ranger_tex.pvr,bot_ranger_tex.pvr,,,,,,,,,
38,MeleeFastBotDefault,MeleeFastBotDefault,,,,,,,,,,,,,,,,,,,,,,,bot_fast_melee_tex.pvr,bot_fast_melee_tex.pvr,bot_fast_melee_tex.pvr,bot_fast_melee_tex.pvr,,,,,,,,,
39,MeleeBotDefault,MeleeBotDefault,,,,,,,,,,,,,,,,,,,,,,,bot_melee_tex.pvr,bot_melee_tex.pvr,bot_melee_tex.pvr,bot_melee_tex.pvr,,,,,,,,,
40,BossBotDefault,BossBotDefault,,,,,,,,,,,,,,,,,,,,,,,bot_boss_tex.pvr,bot_boss_tex.pvr,bot_boss_tex.pvr,bot_boss_tex.pvr,,,,,,,,,
41,ArtilleryGalDefault,ArtilleryGalDefault,,,,,,,,,ArtilleryTurretDefault,ArtilleryDudeCoverDefault,,,,,,,,,,,,,penny_tex.pvr,penny_tex.pvr,penny_tex.pvr,penny_tex.pvr,,,,,,,,,
42,FrankDefault,FrankDefault,,,,,,,,,,,,,,,,,,,,,,,frank_tex.pvr,frank_tex.pvr,frank_tex.pvr,frank_tex.pvr,,,,,,,,,
43,ArtilleryTurretDefault,ArtilleryTurretDefault,,,,,,,,,,,,,,,,,,,,,,,penny_tex.pvr,penny_tex.pvr,penny_tex.pvr,penny_tex.pvr,,,,,,,,,
44,MechanicKnight,MechanicKnight,,,,,,,,,TurretDragon,,,,5000,149,129,,EPIC,TID_MECHANIC_KNIGHT_SKIN,TID_MECHANIC_KNIGHT_SKIN_SHOP,"MODEL,TURRET,VFX,ANIM",,,jessie_knight_redux_tex.pvr,jessie_knight_redux_tex.pvr,jessie_knight_redux_tex.pvr,jessie_knight_redux_tex.pvr,,,,,,,,,
45,FrankCaveman,FrankCaveman,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_FRANK_CAVEMAN_SKIN,TID_FRANK_CAVEMAN_SKIN_SHOP,MODEL,,,frank_caveman_01.pvr,frank_caveman_01.pvr,frank_caveman_01.pvr,frank_caveman_01.pvr,,,,,,,,,
46,TurretDragon,TurretDragon,,,,,,,,,,,,,,,,,,,,,,,jessie_knight_redux_turret_tex.pvr,jessie_knight_redux_turret_tex.pvr,jessie_knight_redux_turret_tex.pvr,jessie_knight_redux_turret_tex.pvr,,,,,,,,,
47,MechanicSummer,MechanicSummer,,SUMMER,,,,,,,TurretSummertime,,,,2750,79,69,,SUPER_RARE,TID_MECHANIC_SUMMER_SKIN,TID_MECHANIC_SUMMER_SKIN_SHOP,"MODEL,TURRET,VFX",,,jessie_beach_tex.pvr,jessie_beach_tex.pvr,jessie_beach_tex.pvr,jessie_beach_tex.pvr,,,,,,,,,
48,TurretSummertime,TurretSummertime,,,,,,,,,,,,,,,,,,,,,,,jessie_beach_duck_tex.pvr,jessie_beach_duck_tex.pvr,jessie_beach_duck_tex.pvr,jessie_beach_duck_tex.pvr,,,,,,,,,
49,CrowPheonix,CrowPheonix,,,,,,,,,,,,,,299,269,,LEGENDARY,TID_CROW_PHEONIX_SKIN,TID_CROW_PHEONIX_SKIN_SHOP,"MODEL,VFX,ANIM",,,crow_pheonix_tex.pvr,crow_pheonix_tex.pvr,crow_pheonix_tex.pvr,crow_pheonix_tex.pvr,,,-100,200,,,,,
51,BigBotDefault,BigBotDefault,,,,,,,,,,,,,,,,,,,,,,,meleebot_tex.pvr,meleebot_tex.pvr,meleebot_tex.pvr,meleebot_tex.pvr,,,,,,,,,
52,BanditGirlPrereg,BanditGirlPrereg,,,,,1,3,,,,,,,,,,,,TID_SHOTGUN_STAR_SKIN,TID_SHOTGUN_STAR_SKIN_SHOP,"MODEL,VFX",,,shelly_prereg_01.pvr,shelly_prereg_01.pvr,shelly_prereg_01.pvr,shelly_prereg_01.pvr,,,,,,,,,
53,LootBox,LootBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,TntBox,TntBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Safe,Safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,TntGuySanta,TntGuySanta,,BRAWLIDAYS,,,4,4,true,,,,,,2750,79,,,SUPER_RARE,TID_DYNAMIKE_SANTA_SKIN,TID_DYNAMIKE_SANTA_SKIN_SHOP,"MODEL,VFX",,,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,221.860001)",dynamike_santa_tex.pvr,"dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,213.488007)",dynamike_santa_tex.pvr,,,,,,,,,
57,TntGuyChef,TntGuyChef,,,,,,,,,,,,,5000,149,129,,EPIC,TID_DYNAMIKE_CHEF_SKIN,TID_DYNAMIKE_CHEF_SKIN_SHOP,"MODEL,VFX",,,"dynamike_chef_tex.pvr+hue(masks/dynamike/dynamike_chef_msk.png,221.860001)",dynamike_chef_tex.pvr,"dynamike_chef_tex.pvr+hue(masks/dynamike/dynamike_chef_msk.png,213.488007)",dynamike_chef_tex.pvr,,,,,,,,,
58,RocketGirlBoombox,RocketGirlBoombox,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_BROCK_BOOMBOX_SKIN,TID_BROCK_BOOMBOX_SKIN_SHOP,MODEL,,,"brock_boombox_tex.pvr+hue(masks/brock/brock_ammo_boombox_msk.png,230.233002)",brock_boombox_tex.pvr,"brock_boombox_tex.pvr+hue(masks/brock/brock_ammo_boombox_msk.png,213.488007)",brock_boombox_tex.pvr,,,,,,,,,
59,BarkeepWizard,BarkeepWizard,,,,,2,4,,,,,,,,,,,,TID_BARLEY_WIZARD_SKIN,TID_BARLEY_WIZARD_SKIN_SHOP,"MODEL,VFX,ANIM,SFX",,,barley_wizard_tex.pvr,barley_wizard_tex.pvr,barley_wizard_tex.pvr,barley_wizard_tex.pvr,,,,,,,,,
60,ShamanReindeer,ShamanReindeer,,BRAWLIDAYS,,,4,4,true,,ShamanBearReindeer,,,,5000,149,,,EPIC,TID_NITA_REINDEER_SKIN,TID_NITA_REINDEER_SKIN_SHOP,"MODEL,PET",,,nita_reindeer_tex.pvr,nita_reindeer_tex.pvr,nita_reindeer_tex.pvr,nita_reindeer_tex.pvr,,,,,,,,,
61,ArtilleryGalElf,ArtilleryGalElf,,BRAWLIDAYS,,,4,4,true,,ArtilleryTurretElf,ArtilleryDudeCoverDefault,,,2750,79,,,SUPER_RARE,TID_PENNY_ELF_SKIN,TID_PENNY_ELF_SKIN_SHOP,"MODEL,TURRET,VFX",,,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,,,,,,,,,
62,NinjaDefault,NinjaDefault,,,,,,,,,,,,,,,,,,,,,,,leon_tex.pvr,leon_tex.pvr,leon_tex.pvr,leon_tex.pvr,,,,,,,,,
63,UndertakerHat,UndertakerHat,,,,1,5,5,,UndertakerDefault,,,,,,,,,,TID_UNDERTAKER_HAT_SKIN,TID_UNDERTAKER_HAT_SKIN_SHOP,MODEL,,,mortis_v2_tex.pvr,mortis_v2_tex.pvr,mortis_v2_tex.pvr,mortis_v2_tex.pvr,,,,,,,,,
64,BullGuyFootbull,BullGuyFootbull,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_SKIN_FOOTBULL,TID_SKIN_FOOTBULL_SHOP,MODEL,,,bull_footbull_tex.pvr,bull_footbull_tex.pvr,bull_footbull_tex.pvr,bull_footbull_tex.pvr,,,,,,,,,
65,ShamanBearReindeer,ShamanBearReindeer,,,,,,,,,,,,,,,,,,,,,,,nita_bear_reindeer_tex.pvr,nita_bear_reindeer_tex.pvr,nita_bear_reindeer_tex.pvr,nita_bear_reindeer_tex.pvr,,,,,,,,,
66,ArtilleryTurretElf,ArtilleryTurretElf,,,,,,,,,,,,,,,,,,,,,,,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,penny_elf_tex.pvr,,,,,,,,,
67,HookDefault,HookDefault,,,,,,,,,,,,,,,,,,,,,,,gene_tex.pvr,gene_tex.pvr,gene_tex.pvr,gene_tex.pvr,,,,,,,,,
68,TrickshotPopcorn,TrickshotPopcorn,,,,,,,,,,,,,5000,149,129,,EPIC,TID_SKIN_POPCORN_RICO,TID_SKIN_POPCORN_RICO_SHOP,"MODEL,VFX",,,rico_popcorn_tex.pvr,rico_popcorn_tex.pvr,rico_popcorn_tex.pvr,rico_popcorn_tex.pvr,,,,,,,,,
69,GunSlingerHanbok,GunSlingerHanbok,,LNY,,,4,4,true,,,,,,5000,149,,,EPIC,TID_SKIN_LUNAR_COLT,TID_SKIN_LUNAR_COLT_SHOP,"MODEL,TEXTURE,VFX",,,colt_hanbok_tex.pvr,colt_hanbok_tex.pvr,colt_hanbok_tex.pvr,colt_hanbok_tex.pvr,,,,,,,,,
70,BarrelbotCny,BarrelbotCny,,LNY,,,4,4,true,,,,,,2750,79,,,SUPER_RARE,TID_SKIN_DUMPLING_DARRYL,TID_SKIN_DUMPLING_DARRYL_SHOP,"MODEL,TEXTURE,VFX",,,darryl_cny_tex.pvr,darryl_cny_tex.pvr,darryl_cny_tex.pvr,darryl_cny_tex.pvr,,,,,,,,,
72,RocketGirlCny,RocketGirlCny,,LNY,,,4,4,true,,,,,,5000,149,,,EPIC,TID_SKIN_LUNAR_BROCK,TID_SKIN_LUNAR_BROCK_SHOP,"MODEL,TEXTURE,VFX",,,brock_cny_tex.pvr,brock_cny_tex.pvr,brock_cny_tex.pvr,brock_cny_tex.pvr,,,,,,,,,
73,WhirlwindDefault,WhirlwindDefault,,,,,,,,,,,,,,,,,,,,,,,carl_tex.pvr,carl_tex.pvr,carl_tex.pvr,carl_tex.pvr,,,,,,,,,
74,RoboWarsBox,RoboWarsBox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,UndertakerNightwitch,UndertakerNightwitch,,CLASHIP,,,,,,,,,,,5000,149,129,,EPIC,TID_UNDERTAKER_NIGHTWITCH_SKIN,TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP,"MODEL,VFX",,,mortis_nightwitch_tex.pvr,mortis_nightwitch_tex.pvr,mortis_nightwitch_tex.pvr,mortis_nightwitch_tex.pvr,,,,,,,,,
76,RoboWarsBaseDefault,RoboWarsBaseDefault,,,,,,,,,,,,,,,,,,,,,,,siege_base.pvr,siege_base_red.pvr,,,,,,,,,,,
77,RosaDefault,RosaDefault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,MineCart,MineCart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ShamanBearShiba,ShamanBearShiba,,,,,,,,,,,,,,,,,,,,,,,nita_bear_shiba_tex.pvr,nita_bear_shiba_tex.pvr,nita_bear_shiba_tex.pvr,nita_bear_shiba_tex.pvr,,,,,,,,,
81,BaseballDefault,BaseballDefault,,,,,,,,,,,,,,,,,,,,,,,bibi_tex.pvr,bibi_tex.pvr,bibi_tex.pvr,bibi_tex.pvr,,,,,,,,,
82,MineCartB,MineCartB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MineCartC,MineCartC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,MineCartD,MineCartD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,MineCartE,MineCartE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ClusterBombDefault,ClusterBombDefault,,,,,,,,,ClusterBombPetDefault,,,,,,,,,,,,,,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,,,,,,,,,
87,ClusterBombPetDefault,ClusterBombPetDefault,,,,,,,,,,,,,,,,,,,,,,,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,tick_tex.pvr,,,,,,,,,
88,ArtilleryGalBunny,ArtilleryGalBunny,,BUNNY_BRIGADE,,,,,,,ArtilleryTurretBunny,ArtilleryDudeCoverDefault,,,2750,79,69,,SUPER_RARE,TID_PENNY_BUNNY_SKIN,TID_PENNY_BUNNY_SKIN_SHOP,"MODEL,TURRET,VFX",,,penny_bunny_redux_tex.pvr,penny_bunny_redux_tex.pvr,penny_bunny_redux_tex.pvr,penny_bunny_redux_tex.pvr,,,,,,,,,
89,ArtilleryTurretBunny,ArtilleryTurretBunny,,,,,,,,,,,,,,,,,,,,,,,penny_bunny_redux_tex.pvr,penny_bunny_redux_tex.pvr,penny_bunny_redux_tex.pvr,penny_bunny_redux_tex.pvr,,,,,,,,,
92,BarkeepMaple,BarkeepLumberjack,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_BARLEY_MAPLE_SKIN,TID_BARLEY_MAPLE_SKIN_SHOP,"MODEL,VFX",,,barley_lumberjack_tex.pvr,barley_lumberjack_tex.pvr,barley_lumberjack_tex.pvr,barley_lumberjack_tex.pvr,,,,,,,,,
94,BoMecha,BoMecha,,MECHA,,8,,,,,,,,,,299,269,,LEGENDARY,TID_BO_MECHA_SKIN,TID_BO_MECHA_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)",bo_mecha_tex.png,"bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)",bo_mecha_tex.png,,,,,,,,,
95,CrowMecha,CrowMecha,,MECHA,,9,,,,,,,,,,299,269,,LEGENDARY,TID_CROW_MECHA_SKIN,TID_CROW_MECHA_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,crow_mecha_tex.png,crow_mecha_tex.png,crow_mecha_tex.png,crow_mecha_tex.png,,,,,,,,,
96,Cactusmecha,Cactusmecha,,ROBOTSMONSTERS,,,,,,,,,,,5000,149,129,,EPIC,TID_SPIKE_ROBO_SKIN,TID_SPIKE_ROBO_SKIN_SHOP,"MODEL,VFX,ANIM,SFX",,,spike_mecha_tex.pvr,spike_mecha_tex.pvr,spike_mecha_tex.pvr,spike_mecha_tex.pvr,,,,,,,,,
97,TntDudeMecha,TntDudeMecha,,ROBOTSMONSTERS,,,,,,,,,,,,299,269,,LEGENDARY,TID_MIKE_ROBO_SKIN,TID_MIKE_ROBO_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)+value(masks/dynamike/dynamike_mecha_ammo_msk.png,1.279000)",dynamike_mecha_tex.pvr,"dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)",dynamike_mecha_tex.pvr,,,,,,,,,
98,BowDudeMechaWhite,BoMecha,,MECHA,,8,,,,,BowDudeTotemDefault,,,,,49,,,LEGENDARY,TID_BO_MECHA_LIGHT_SKIN,TID_BO_MECHA_LIGHT_SKIN_SHOP,"MODEL,VFX,ANIM,SFX,VOICE",,,"bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,2.674000)+value(masks/bo/bo_mecha_colour01_msk.png,2.442000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+saturation(masks/bo/bo_mecha_seams_msk.png,0.000000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+value(masks/bo/bo_mecha_colour02_msk.png,0.800000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,2.674000)+value(masks/bo/bo_mecha_colour01_msk.png,2.442000)+hue(masks/bo/bo_mecha_colour01_msk.png,12.558000)+saturation(masks/bo/bo_mecha_seams_msk.png,0.000000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+value(masks/bo/bo_mecha_colour02_msk.png,0.800000)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,5.349000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png+saturation(masks/bo/bo_mecha_colour02_msk.png,0.000000)+saturation(masks/bo/bo_mecha_colour01_msk.png,5.349000)+hue(masks/bo/bo_mecha_eyesvisor_msk.png,20.930000)+hue(masks/bo/bo_mecha_colour02_msk.png,0.000000)",,,,,,,BoMecha,,
